thread_id,topic
5121232859.0,"(0.1782626291392703, 0.08999729221574769, 0.00830282264891871, 0.0796533653684486, 0.43828861559722704, 0.20549527503038828)"
5144230837.0,"(0.14105691252099353, 0.2247539145103272, 0.012784207990151978, 0.13513923721216778, 0.33709361672262705, 0.14917211104373237)"
5144359994.0,"(0.31725644972433087, 0.027378157803178146, 0.02175767901122217, 0.019704127205376728, 0.42251418868871127, 0.19138939756718085)"
5175557271.0,"(0.13398235379837112, 0.058350514017093194, 0.045873184914751564, 0.06375703407478267, 0.36402654339957075, 0.3340103697954307)"
5191973752.0,"(0.31886959219328537, 0.03338845793527578, 0.048409571032955796, 0.11150314230745534, 0.199345077087213, 0.28848415944381467)"
5203750265.0,"(0.09484040204916086, 6.520768996303749e-10, 5.943834918513772e-06, 0.011858914252958716, 0.7666608966850924, 0.12663384252579263)"
5217226334.0,"(0.32862720778155674, 0.06217062711556065, 0.020458373959770768, 0.14136124112181014, 0.2509016122022998, 0.1964809378190019)"
5217411608.0,"(0.15532519533852027, 0.08269197131069439, 0.06828229503991708, 0.08137850567890254, 0.3239418948490628, 0.28838013778290283)"
5227014392.0,"(0.24201601884772675, 0.23751891365714353, 0.03898207099598357, 0.0892192634820119, 0.23050533701856502, 0.16175839599856948)"
5229901962.0,"(0.13324266699051268, 0.06733529385130643, 0.008561995160002512, 0.046230105205037425, 0.2064956254578852, 0.5381343133352561)"
5230747655.0,"(0.0013390044556783767, 1.7817465427494626e-10, 2.668167235887595e-10, 0.9986606612242128, 1.0913653349681381e-07, 2.247385839950468e-07)"
5231983151.0,"(0.0013390044556783767, 1.7817465427494626e-10, 2.668167235887595e-10, 0.9986606612242128, 1.0913653349681381e-07, 2.247385839950468e-07)"
5237919815.0,"(0.18650461075442987, 0.09703508761298324, 0.03789403704277316, 0.058352782611022655, 0.36885704654409696, 0.25135643543469344)"
5239082860.0,"(0.31552229669033227, 0.04224048644955254, 0.037605992610214925, 0.08205427418557813, 0.2938868523849907, 0.2286900976793314)"
5247604645.0,"(0.23220989746695472, 0.06284021499174387, 0.01063107162988469, 0.08396470688781581, 0.33620632279694945, 0.2741477862266513)"
5255368319.0,"(0.05431625866024084, 0.11307833677176125, 0.21579474082180303, 0.0870341761407232, 0.24627499015657983, 0.2835014974488919)"
5256867556.0,"(0.2594643796632175, 0.14058420734708837, 0.04487781903119431, 0.14844241529439345, 0.17179415393569528, 0.23483702472841095)"
5280136277.0,"(0.32257931017720554, 0.05138253483728104, 0.0558285948726556, 0.010753133221806854, 0.3529802486008436, 0.2064761782902072)"
5287310882.0,"(0.22717795462594664, 0.04430461071833548, 0.019114350090173187, 0.01846152550022339, 0.4704226682069685, 0.2205188908583529)"
5289927408.0,"(0.17108078532414236, 0.12705034555194988, 0.006763683651317527, 0.10032221364503859, 0.37286625435332105, 0.22191671747423075)"
5291653115.0,"(0.08160196309889829, 0.05136995802351858, 0.0026646470601675476, 0.28472386833646124, 0.22560467471706408, 0.35403488876389017)"
5296456490.0,"(0.06178265210436962, 0.03898005794847483, 0.06320449863827111, 0.6948906186553842, 0.05270754445662446, 0.0884346281968754)"
5304201247.0,"(0.20865857319000838, 0.07422662021859043, 0.01232700060125279, 0.12137683720232798, 0.3724208831769115, 0.21099008561090865)"
5314851936.0,"(0.29940974165273904, 0.06478413260221447, 0.08679252725540729, 0.18546304779838674, 0.19521426935214053, 0.16833628133911197)"
5318245148.0,"(0.0691994004779665, 0.20457081766683424, 0.008409947766989091, 0.2584398613769227, 0.326062397752825, 0.13331757495846241)"
5327130076.0,"(0.12788875165573296, 0.039871195364236764, 0.042302846501702886, 0.03235390693755658, 0.416402797148369, 0.34118050239240205)"
5329109898.0,"(0.18362040401800528, 0.041405648443945876, 0.013989510007624311, 0.032920491545046685, 0.3542573136766143, 0.37380663230876376)"
5330734116.0,"(0.13725460307639906, 0.07898263270509215, 0.007129239372312133, 0.20023442108157943, 0.4014219144569947, 0.17497718930762252)"
5351968467.0,"(0.18864187054073617, 0.08677478794203919, 0.030293930183289224, 0.28836490964350747, 0.3071229498785962, 0.09880155181183203)"
5355185933.0,"(0.12534359899783865, 0.11804002193350707, 0.021167901312560484, 0.25332205303826155, 0.33180199016905865, 0.1503244345487733)"
5357136277.0,"(0.021498980081200453, 0.47674303047504035, 0.0026506387699142017, 0.1753077858321413, 0.23342218393896816, 0.09037738090273545)"
5357944015.0,"(0.49593728932242487, 0.10465952589888383, 0.0005848822050956659, 0.01448721435413967, 0.270240575699636, 0.11409051251981996)"
5358852293.0,"(0.17042815261982927, 0.0359455560278542, 0.026976868530773204, 0.019370229560484387, 0.23745098897843495, 0.5098282042826239)"
5361824587.0,"(0.23347762427258598, 0.19253465780603327, 0.006174387951348842, 0.20169099431811638, 0.2318869982521085, 0.134235337399807)"
5363847755.0,"(0.10035660095815295, 0.3921034205693057, 0.0003583101935977416, 0.14113074023563102, 0.11021424744113, 0.2558366806021827)"
5381200130.0,"(0.18381446264913423, 0.05731221168249603, 0.07644704161808763, 0.07618967048862879, 0.3964181444144123, 0.20981846914724134)"
5390362752.0,"(0.09436328315558354, 0.14476167228371134, 0.039811213174301675, 0.36541959290643083, 0.1957107045029318, 0.1599335339770408)"
5405898351.0,"(0.09177894982207553, 0.0323834408950106, 0.02645351421653556, 0.0223538071711005, 0.39070335544000817, 0.43632693245526943)"
5437840434.0,"(0.826685203463609, 0.0005317456146259792, 6.86055754531658e-05, 5.87474310302003e-05, 0.039796249375057435, 0.13285944854022416)"
5453787234.0,"(0.24027792033137396, 0.07096069226017157, 0.009151971856639438, 0.3271514570890535, 0.2084944445990178, 0.14396351386374387)"
5470606382.0,"(0.025348565358889633, 0.33117168615751735, 0.0009676052993721391, 0.12461628139266759, 0.4329625343395063, 0.08493332745204686)"
5474082382.0,"(0.2675535974222943, 0.08684579325545093, 0.0016132394204071234, 0.12151282341707316, 0.33138068610824667, 0.1910938603765279)"
5482819436.0,"(0.10018709929158233, 0.24314534599121368, 0.02396984510713991, 0.05099770630011179, 0.4516876749657266, 0.13001232834422577)"
5490037167.0,"(0.31665702973324106, 0.06516258156002872, 0.013958628781419258, 0.05069964226989852, 0.39453763736296144, 0.15898448029245138)"
5491953221.0,"(0.23161290530367543, 0.07252992547916787, 0.002796169310476029, 0.06623449713297894, 0.3781488352986911, 0.24867766747501086)"
5496634338.0,"(0.07481036268345348, 0.22593850852983938, 0.0029702783780338276, 0.5637249833270507, 0.08136274806509962, 0.051193119016523056)"
5502484943.0,"(0.09999010276214435, 0.03088279138904461, 0.0021540445498503063, 0.030281180239966017, 0.38476480571612304, 0.4519270753428718)"
5513618550.0,"(0.13297536763173737, 0.08053226011297954, 0.0024978636883938895, 0.1556812410880127, 0.5338998715244518, 0.09441339595442456)"
5515469592.0,"(0.14661228676637997, 0.04097664522940926, 0.18009829947874806, 0.07465804058243908, 0.34373127645483564, 0.21392345148818792)"
5517055072.0,"(0.1625417280957518, 0.05002411241638132, 0.005798788168568285, 0.05651229766112272, 0.3534539562760716, 0.3716691173821046)"
5517123110.0,"(0.03972560198330291, 0.3559128971426523, 9.280488474767723e-07, 0.17328386353488504, 0.17766869120708406, 0.2534080180832281)"
5531534092.0,"(0.7075089063667562, 8.887768993855632e-05, 3.2048262263620277e-06, 0.0023063185337970885, 0.26313873280805944, 0.026953959775222254)"
5557414033.0,"(0.1262603752448226, 0.0813876380157596, 0.014537188147468056, 0.05487930674025762, 0.4744203605389025, 0.24851513131278988)"
5557648821.0,"(0.11447100973572859, 0.2504934100052138, 0.09947454939317359, 0.17306097250524688, 0.2285376406145603, 0.1339624177460768)"
5568150749.0,"(0.10924859609846477, 0.08528286035822116, 0.0015709507777839473, 0.04553565428044596, 0.28415286166022413, 0.4742090768248604)"
5568963608.0,"(0.10049362226741144, 0.37053205631224573, 0.005846702804940212, 0.282159312857, 0.13890218440565277, 0.10206612135274969)"
5570624453.0,"(0.057699649463326126, 0.4033088441821946, 0.009495741212358083, 0.20017614362534022, 0.23590743352586174, 0.09341218799091927)"
5572562892.0,"(0.1299348479407167, 0.10072851934418922, 0.007680689674269445, 0.21538052603229532, 0.3901322767293289, 0.15614314027920012)"
5580357341.0,"(0.1819801067606474, 0.05972966113657027, 0.07060776043636108, 0.06868912607674066, 0.22272025067691675, 0.39627309491276363)"
5581349950.0,"(0.23963762421498702, 0.20136052095438, 0.040632295859938536, 0.009139386144437236, 0.271908229375112, 0.23732194345114516)"
5582610322.0,"(0.36924517105446614, 0.0223215204579182, 0.011791014052526569, 0.004752522115728276, 0.3875139761572046, 0.2043757961621563)"
5586405172.0,"(0.14242225266683492, 0.048276115770599835, 0.010819904625766852, 0.1023424610540707, 0.20878462208757811, 0.48735464379514937)"
5596657625.0,"(0.0007820280949281024, 0.04458853262929951, 0.012778542763559837, 0.19816707673974965, 0.03859480922651033, 0.7050890105459527)"
5612927703.0,"(0.03358192010737969, 0.54998960695675, 0.006782406361814668, 0.21834365502726108, 0.09732050691942772, 0.09398190462736679)"
5614704885.0,"(0.08371799484701778, 0.07177620739989213, 0.003186213395129283, 0.04056039960099873, 0.4305894356073473, 0.37016974914961476)"
5621342090.0,"(0.1439460621860566, 0.07027534027898477, 0.01942374855925941, 0.39605653105368444, 0.14461384595328886, 0.22568447196872596)"
5623828381.0,"(0.23644485598466697, 0.04381311220410199, 0.012556379070143082, 0.06940364052878743, 0.3507677178976841, 0.2870142943146166)"
5624606629.0,"(0.20663867458874174, 0.02656757886187277, 0.008090749126449935, 0.015046527607815155, 0.5717799874668263, 0.17187648234829417)"
5631218825.0,"(0.4454840573691107, 0.16155164066797947, 0.004704146288334911, 0.06351954631279715, 0.14732840163616417, 0.17741220772561356)"
5638343538.0,"(0.35181859562916323, 0.20368392999845644, 0.007579685610176959, 0.08294113955815322, 0.18873016542893042, 0.16524648377511966)"
5661491813.0,"(0.3014212398261575, 0.051911688474755094, 0.07222285564450079, 0.18245753509784324, 0.2396340241199074, 0.15235265683683571)"
5681764559.0,"(0.04222903940587296, 0.18810451890440175, 0.0031846551225092642, 0.5217502867750814, 0.13073922948074038, 0.1139922703113941)"
5686878639.0,"(0.38209809761203073, 0.0628285644130331, 0.03266651125843935, 0.2048567439911529, 0.14305313907110534, 0.17449694365423865)"
5689546981.0,"(0.433768656482737, 0.07993264194097885, 0.009220561200778493, 0.1302421506289354, 0.15824523983748234, 0.18859074990908792)"
5690848705.0,"(0.11451600540253747, 0.23835466981899484, 0.013871105659032112, 0.14009815022749936, 0.28252305105774417, 0.2106370178341921)"
5691758722.0,"(0.08510155736210723, 0.031596666780236336, 0.0018934617939243123, 0.14580207665231362, 0.34937031619986797, 0.38623592121155037)"
5704076807.0,"(0.03596826926894973, 0.4089524474781056, 0.018918524929437432, 0.22590652310843756, 0.22743105775977493, 0.08282317745529463)"
5704172975.0,"(0.060857076299010056, 0.15169721290925242, 0.009868862609227971, 0.38936528058739095, 0.3057055814962053, 0.08250598609891335)"
5713796131.0,"(0.05829397336610771, 0.4281178630168731, 0.016155744506932062, 0.3415505354776294, 0.1018945584322195, 0.05398732520023807)"
5724617060.0,"(0.0202124121482877, 0.42933155285748426, 0.013482821054074366, 0.05826019919295969, 0.31731943906594845, 0.1613935756812457)"
5724843389.0,"(0.02718709246365995, 0.06077071122504555, 0.0007483350217296816, 0.23359805095769237, 0.09185302454952457, 0.5858427857823477)"
5725381795.0,"(0.11766987740741847, 0.07173731239697966, 0.04299405257262842, 0.0901496269252977, 0.38134954626771983, 0.2960995844299558)"
5730315934.0,"(0.1407678397298781, 0.09415224912696402, 0.0030753652940541305, 0.06319219200173679, 0.5773595450942678, 0.12145280875309904)"
5732964835.0,"(0.018756334374456493, 0.681955647738367, 0.016107609290366164, 0.07639596388269485, 0.1512975292408967, 0.05548691547321856)"
5740376500.0,"(0.25984097335044887, 0.05273640673324412, 0.02624740480928265, 0.03865420932800759, 0.4077477334399643, 0.21477327233905263)"
5742902756.0,"(0.04879508536240411, 0.06517378827504611, 0.01241876184660591, 0.05701917916813554, 0.5478817812020765, 0.26871140414573225)"
5742905498.0,"(0.1050841513967264, 0.18002135233486055, 0.012330777330354281, 0.47215406292608597, 0.09364852698606922, 0.1367611290259036)"
5751738084.0,"(0.17785462222228512, 0.056606173804021484, 0.05492040396746547, 0.025315856748204395, 0.4331692694736304, 0.25213367378439305)"
5752915249.0,"(0.012502446088295911, 0.14467267311779272, 0.021362169401128426, 0.5704304477892262, 0.04273992672750312, 0.20829233687605336)"
5765785998.0,"(0.3428787565902695, 0.059737538170593636, 0.0061905929282220305, 0.08963077173443465, 0.3317819382496101, 0.16978040232686997)"
5769275305.0,"(0.0698397652440421, 0.23857995365174, 0.03147672248696926, 0.270525133537521, 0.20802229008913656, 0.18155613499059103)"
5770607261.0,"(0.027295021390039077, 0.04356488376899391, 0.08325097688524052, 0.011904660569165856, 0.45383554976404167, 0.38014890762251885)"
5779202174.0,"(0.1368128203976207, 0.07847299903553627, 0.007181835411749668, 0.1166052622823195, 0.3779323268191429, 0.28299475605363117)"
5779337820.0,"(0.013092248070070884, 0.470739315860192, 0.06054150274343443, 0.0017705000246487812, 0.3399408088468887, 0.11391562445476527)"
5789355335.0,"(0.4712119511781024, 0.001654891626741315, 0.013392669177994716, 0.23317958791528604, 0.054731118197263284, 0.2258297819046121)"
5789416728.0,"(0.15990381572586462, 0.14780043636303022, 0.014675907048950988, 0.22761093794613513, 0.3346878831112256, 0.11532101980479323)"
5799606734.0,"(0.2861655064769628, 0.21321188325011603, 0.032545402575590576, 0.033086116333319864, 0.252319120660385, 0.1826719707036257)"
5800933223.0,"(0.14732063427427505, 0.17281678575949272, 0.024142894652680092, 0.33669156123912475, 0.12251292335402782, 0.19651520072039952)"
5807603287.0,"(0.18132017099813555, 0.10448774924077077, 0.015802606798420868, 0.07619488688186474, 0.3805962882399854, 0.2415982978408226)"
5811209543.0,"(0.2057623659618863, 0.09690497237504635, 0.002045965772866759, 0.38638189592583694, 0.15495588611843544, 0.1539489138459283)"
5811398703.0,"(0.2207032247093118, 0.027075214035135145, 0.01205043162594103, 0.29781451341666043, 0.06656559278586344, 0.37579102342708826)"
5814294739.0,"(0.26070874409646805, 0.02266995776280412, 0.013016586884764272, 0.02124641155821833, 0.32114784685785264, 0.3612104528398927)"
5816954321.0,"(0.14859123609323618, 0.1555870906794456, 0.008299001572820049, 0.14221710849345565, 0.40764544497298866, 0.13766011818805385)"
5824114303.0,"(0.01699289658818182, 0.5471319652312382, 0.04442672297667231, 0.0947016908343959, 0.21604446433163374, 0.08070226003787793)"
5829780048.0,"(0.17845305881587165, 0.03675180619844339, 0.06191532187034952, 0.006124010804441614, 0.6022159943000448, 0.1145398080108492)"
5832613520.0,"(0.2830657213554585, 0.09487473263569576, 0.03715684438727706, 0.05594079519046682, 0.34656734377907705, 0.18239456265202494)"
5832878697.0,"(0.1802828764044474, 0.1690583214570676, 0.0106688292264716, 0.242418953715407, 0.2412759150071941, 0.1562951041894123)"
5833594848.0,"(0.1335742213311049, 0.12976355964271563, 0.07635817736659298, 0.015389425515506858, 0.3752241180648398, 0.26969049807923995)"
5837075646.0,"(0.11066743680773589, 0.3393576949902985, 0.019307235336223257, 0.2720199725434641, 0.16103153302266388, 0.0976161272996146)"
5846028576.0,"(0.15998006494968173, 0.031805957404647436, 0.007226574013335109, 0.020085274144537472, 0.16421480709468717, 0.6166873223931112)"
5851172941.0,"(0.24215794372140545, 0.01146968440384062, 0.014087357245327684, 0.010435602564395867, 0.3441707852447251, 0.3776786268203054)"
5853749266.0,"(0.17464120973830424, 0.0449411840980888, 0.008843827512466223, 0.03343942036889889, 0.4136961855275697, 0.3244381727546721)"
5855284657.0,"(0.028762584461217072, 0.18717580731365915, 0.01522105554912736, 0.7309943421493067, 0.010075024924866482, 0.02777118560182309)"
5857887179.0,"(0.023753343372516184, 0.5192346430868572, 0.025815229809791826, 0.2231472472464875, 0.11537710828486424, 0.09267242819948318)"
5867576612.0,"(0.06327232040912774, 0.10170685576858311, 0.020877655003099325, 0.03275345676800668, 0.35811747165607316, 0.42327224039511)"
5869373661.0,"(0.056248905035863016, 0.09076783257568652, 0.0029825753431222874, 0.2548310986387409, 0.17940397881891346, 0.4157656095876738)"
5872741764.0,"(0.28147610424682534, 0.17404911640989906, 0.002055455423074044, 0.04627982339118629, 0.3011379061453846, 0.1950015943836306)"
5876372865.0,"(0.2923993433144675, 0.007432108720816232, 0.0598077633047355, 0.0037214921961108835, 0.3398168528787513, 0.29682243958511867)"
5879272972.0,"(0.2621885018293949, 0.03718598221503502, 0.03674463080789335, 0.012482352631656698, 0.37536065385559786, 0.2760378786604223)"
5881121997.0,"(0.036693977402486234, 0.5041640808099014, 0.00011639981226994549, 0.31678188837285576, 0.026241088919036492, 0.1160025646834501)"
5883950641.0,"(0.1494940469515312, 0.31240091381843454, 0.022121714177105876, 0.12613536016762658, 0.239584195567968, 0.15026376931733396)"
5886519607.0,"(0.0036357129686308072, 0.0632289222228724, 0.05034713590789848, 0.05394362581777091, 0.01416028525072734, 0.8146843178321002)"
5891239809.0,"(0.9441029009871899, 0.008365430442507631, 0.00014019818741720384, 0.00035983102519983914, 0.023095424314229562, 0.023936215043456256)"
5892005358.0,"(0.03361172881077414, 0.3654250235935441, 0.00759336277375151, 0.18759116544251356, 0.23490434757375012, 0.1708743718056666)"
5892114925.0,"(0.19796536827476593, 0.12216152958878587, 0.023444640234405272, 0.057391040204530924, 0.3627521418716188, 0.23628527982589317)"
5895116093.0,"(0.008323749276347634, 0.1417346945098218, 0.02406862270611831, 0.5284314614306185, 0.07546890486773244, 0.2219725672093615)"
5895535728.0,"(0.04122798095771016, 0.16278066320434917, 0.016625702038599907, 0.3274713386464419, 0.2520184257781151, 0.19987588937478368)"
5895996549.0,"(0.0836990631602056, 0.10983170912554918, 0.005822364862575879, 0.03867115165323545, 0.41555053427126365, 0.34642517692717045)"
5902141975.0,"(0.16121282769839768, 0.22065715308735936, 0.010588386659713669, 0.16163769255297034, 0.3025532938160229, 0.1433506461855361)"
5902720966.0,"(0.03883414629348597, 0.17942738139786882, 0.003812002541136583, 0.5040783918032193, 0.10512794350356403, 0.16872013446072526)"
5912204039.0,"(0.07046202287591843, 0.061781463329316326, 0.08761624296416341, 0.10934225692315731, 0.5968509741670606, 0.07394703974038393)"
5912437321.0,"(0.025169491968547786, 0.4212223967297999, 0.0006792335542429846, 0.12637198198965482, 0.1983442994686181, 0.22821259628913643)"
5915564716.0,"(0.13499063778281, 0.08732098720067646, 0.0027400997380461396, 0.10536543628589347, 0.16818904043004324, 0.5013937985625305)"
5917718045.0,"(0.0467476131805607, 0.4636024455647719, 0.0037428389798658, 0.2839769529547799, 0.1060833943624182, 0.09584675495760352)"
5919274606.0,"(0.05555510072842187, 0.17722279753742323, 0.006785315982165655, 0.621349248938492, 0.07796935683262206, 0.0611181799808752)"
5922107973.0,"(0.031096024197230013, 0.015195250263111963, 0.019003781352133906, 0.001490256619612803, 0.8117943042885408, 0.1214203832793703)"
5924055613.0,"(0.09819771004176199, 0.026258224338097543, 0.0015440876446314224, 0.08599931369470656, 0.04694469031688657, 0.7410559739639156)"
5932400082.0,"(0.19314630970661525, 0.06523153164484416, 0.004451442163104007, 0.11216451654101078, 0.41295644803810516, 0.2120497519063206)"
