portrait,time,thread_id,timestamp,A,G,F,Emotion,weight
tb.1.6d29da40.EatqpJMna0mbheE1U4Nw6w,21/7/2020 06:33:00,6715648395.0,1595284380.0,1,1.0,0.09999994777187224,0,0.0399999791087489
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,30/9/2020 23:35:00,6926670862.0,1601480100.0,1,1.0,0.09999994777187224,0,0.0399999791087489
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,12/5/2020 00:29:00,5950372437.0,1589214540.0,1,0.5810227934789198,0.058102224688386994,0,0.0232408898753548
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,16/3/2020 19:47:00,6488377505.0,1584359220.0,2,0.4665164957684037,0.09330324653693504,0,0.03732129861477402
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,15/3/2020 20:37:00,5742902756.0,1584275820.0,1,0.4665164957684037,0.04665159425284098,0,0.018660637701136393
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,6/1/2020 01:22:00,6131822784.0,1578244920.0,1,0.3576614831088146,0.0357660923551828,0,0.01430643694207312
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,9/12/2019 23:22:00,6311194036.0,1575904920.0,1,0.32234257710989483,0.032234201550330785,0,0.012893680620132315
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,17/11/2019 12:45:00,6173358827.0,1573965900.0,2,0.2938869765709022,0.05877734069385328,0,0.023510936277541312
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,14/8/2019 23:33:00,6203554176.0,1565796780.0,5,0.20542257864644758,0.10271123725243556,0,0.041084494900974225
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,7/8/2019 15:30:00,5779202174.0,1565163000.0,1,0.19842513149602495,0.019842456269835333,0,0.007936982507934133
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,26/6/2019 22:48:00,6175902755.0,1561560480.0,1,0.16879374327102378,0.016879317275380556,0,0.006751726910152223
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,10/5/2019 00:44:00,6111136739.0,1557420240.0,1,0.1419380536338597,0.014193748155817216,0,0.005677499262326887
tb.1.a801276a.3tJJJtg0RFC9xa0l3iQWIg,7/12/2018 00:37:00,5968444001.0,1544114220.0,1,0.07784060139742643,0.007784002560208341,0,0.0031136010240833366
